chiave,record_id,file,regione_codice,regione_finale,provincia_finale,comune_finale,nome_originale,nome_canonico,nome_norm_stat,tipo_originale,tipo_standard,macro_categoria,fonte_territorializzazione,stato_osservazione,ruoli_documentali,ruolo_attore,ruolo_firmatario,ruolo_proponente,ente_capofila,note,cf,codice_soggetti_questionari,denominazione_soggetti_questionari,codice_aggregazione_2,descrizione_aggregazione_2
UNIVERSITA DEGLI STUDI DI FERRARA||Università||Ferrara||Emilia-Romagna,006_0010,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08,Emilia-Romagna,Ferrara,Ferrara,Universita degli Studi di Ferrara,Università degli Studi di Ferrara,UNIVERSITA DEGLI STUDI DI FERRARA,Università,Università,Altro,json,valido_localizzato,firmatario|attore,1,1,0,,,,28,Università,7,Settore Educativo
UNIVERSITA DEGLI STUDI DI FERRARA||Università||Ferrara||Emilia-Romagna,007_0024,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,Ferrara,Ferrara,Università degli Studi di Ferrara,Università degli Studi di Ferrara,UNIVERSITA DEGLI STUDI DI FERRARA,Università,Università,Altro,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,"Firmataria, parte attiva in iniziative, formazione specifica",,28,Università,7,Settore Educativo
COMUNE DI COPPARO||Comuni||Ferrara||Emilia-Romagna,006_0013,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08,Emilia-Romagna,Ferrara,Copparo,Comune di Copparo,Comune di Copparo,COMUNE DI COPPARO,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|attore,1,1,0,,,,3,Comuni,3,Servizi comunali
COMUNE DI COPPARO||Comuni||Ferrara||Emilia-Romagna,007_0006,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,Ferrara,Copparo,Comune di Copparo,Comune di Copparo,COMUNE DI COPPARO,Comuni,Comuni,Servizi comunali,json,valido_localizzato,attore,1,0,0,,Parte dell'Unione Terre e Fiumi,,3,Comuni,3,Servizi comunali
ORDINE DEGLI AVVOCATI DI FERRARA||Ordine avvocati||Ferrara||Emilia-Romagna,006_0017,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08,Emilia-Romagna,Ferrara,Ferrara,Ordine degli Avvocati di Ferrara,Ordine degli Avvocati di Ferrara,ORDINE DEGLI AVVOCATI DI FERRARA,Ordine avvocati,Ordine avvocati,Associazionismo e ordini,json,valido_localizzato,firmatario|attore,1,1,0,,,,19,Ordine avvocati,8,associazionismo
ORDINE DEGLI AVVOCATI DI FERRARA||Ordine avvocati||Ferrara||Emilia-Romagna,007_0038,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,Ferrara,Ferrara,Ordine degli Avvocati di Ferrara,Ordine degli Avvocati di Ferrara,ORDINE DEGLI AVVOCATI DI FERRARA,Ordine avvocati,Ordine avvocati,Associazionismo e ordini,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,"Firmatario, formazione specialistica avvocati per violenza di genere",,19,Ordine avvocati,8,associazionismo
SERVIZI SOCIALI||Servizi sociali comunali||||Emilia-Romagna,006_0029,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,08,Emilia-Romagna,,,Servizi Sociali,Servizi sociali,SERVIZI SOCIALI,Servizi sociali comunali,Servizi sociali comunali,Servizi comunali,nome,generico,attore,1,0,0,,Intervengono su segnalazione e per la presa in carico di situazioni di violenza,,6,Servizi sociali comunali,3,Servizi comunali
SERVIZI SOCIALI||Servizi sociali comunali||||Emilia-Romagna,007_0046,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,,,Servizi Sociali,Servizi sociali,SERVIZI SOCIALI,Servizi sociali comunali,Servizi sociali comunali,Servizi comunali,nome,generico,attore,1,0,0,,"Servizi pubblici territoriali coinvolti nelle procedure, presa in carico, segnalazioni",,6,Servizi sociali comunali,3,Servizi comunali
POLIZIA DI STATO||Carabinieri/Polizia/altre forze dell'ordine||||Emilia-Romagna,007_0022,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,,,Polizia di Stato,Polizia di Stato,POLIZIA DI STATO,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,generico,attore,1,0,0,,,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
POLIZIA DI STATO||Carabinieri/Polizia/altre forze dell'ordine||||Emilia-Romagna,017_0023,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08,Emilia-Romagna,,,Polizia di Stato,Polizia di Stato,POLIZIA DI STATO,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,generico,attore,1,0,0,,Pronto intervento 113,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
POLIZIA DI STATO||Carabinieri/Polizia/altre forze dell'ordine||||Emilia-Romagna,018_0023,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08,Emilia-Romagna,,,Polizia di Stato,Polizia di Stato,POLIZIA DI STATO,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,generico,,0,0,0,,"Coinvolta in progetti antiviolenza, indicazione per chiamate di emergenza",,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
COORDINAMENTO DEI CENTRI ANTIVIOLENZA DELL'EMILIA ROMAGNA||CAV||Bologna||Emilia-Romagna,007_0027,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,Bologna,Bologna,Coordinamento dei Centri Antiviolenza dell’Emilia Romagna,Coordinamento dei Centri Antiviolenza dell'Emilia Romagna,COORDINAMENTO DEI CENTRI ANTIVIOLENZA DELL'EMILIA ROMAGNA,ALTRI ENTI DEL TERZO SETTORE,CAV,CAV e protezione,json,valido_localizzato,,0,0,0,,Rete regionale centri antiviolenza,91311570377,1,CAV,1,CAV
COORDINAMENTO DEI CENTRI ANTIVIOLENZA DELL'EMILIA ROMAGNA||CAV||Bologna||Emilia-Romagna,015_0008,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08,Emilia-Romagna,Bologna,Bologna,Coordinamento dei Centri Antiviolenza dell’Emilia Romagna,Coordinamento dei Centri Antiviolenza dell'Emilia Romagna,COORDINAMENTO DEI CENTRI ANTIVIOLENZA DELL'EMILIA ROMAGNA,ALTRI ENTI DEL TERZO SETTORE,CAV,CAV e protezione,json,valido_localizzato,,0,0,0,,,91311570377,1,CAV,1,CAV
TRIBUNALE ORDINARIO||Procura Ordinaria/Tribunale/Corte d'appello||||Emilia-Romagna,007_0051,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08,Emilia-Romagna,,,Tribunale ordinario,Tribunale ordinario,TRIBUNALE ORDINARIO,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Settore giudiziario,nome,generico,,0,0,0,,Invii a CAM,,18,Procura Ordinaria/Tribunale/Corte d'appello,2,Settore giudiziario
TRIBUNALE ORDINARIO||Procura Ordinaria/Tribunale/Corte d'appello||||Emilia-Romagna,017_0009,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08,Emilia-Romagna,,,Tribunale ordinario,Tribunale ordinario,TRIBUNALE ORDINARIO,Procura Ordinaria/Tribunale/Corte d'appello,Procura Ordinaria/Tribunale/Corte d'appello,Settore giudiziario,nome,generico,,0,0,0,,,,18,Procura Ordinaria/Tribunale/Corte d'appello,2,Settore giudiziario
DIREZIONE DELLA CASA CIRCONDARIALE DI RIMINI||Altro||Rimini||Emilia-Romagna,009_0033,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08,Emilia-Romagna,Rimini,Rimini,Direzione della Casa Circondariale di Rimini,Direzione della Casa Circondariale di Rimini,DIREZIONE DELLA CASA CIRCONDARIALE DI RIMINI,Altro,Altro,Altro,json,valido_localizzato,firmatario|attore,1,1,0,,Direzione struttura penitenziaria,,30,Altro,9,altro
DIREZIONE DELLA CASA CIRCONDARIALE DI RIMINI||Altro||Rimini||Emilia-Romagna,009_0037,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08,Emilia-Romagna,Rimini,Rimini,Direzione della Casa Circondariale di Rimini,Direzione della Casa Circondariale di Rimini,DIREZIONE DELLA CASA CIRCONDARIALE DI RIMINI,Altro,Altro,Altro,json,valido_localizzato,firmatario|attore,1,1,0,,,,30,Altro,9,altro
DIREZIONI SCOLASTICHE||Scuole/Ufficio scolastico provinciale e regionale||||Emilia-Romagna,009_0036,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08,Emilia-Romagna,,,Direzioni Scolastiche,Direzioni Scolastiche,DIREZIONI SCOLASTICHE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Settore educativo,nome,valido_localizzato,attore,1,0,0,,,,16,Scuole/Ufficio scolastico provinciale e regionale,7,Settore Educativo
DIREZIONI SCOLASTICHE||Scuole/Ufficio scolastico provinciale e regionale||||Emilia-Romagna,011_0019,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08,Emilia-Romagna,,,Direzioni scolastiche,Direzioni scolastiche,DIREZIONI SCOLASTICHE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Settore educativo,nome,valido_localizzato,attore,1,0,0,,,,16,Scuole/Ufficio scolastico provinciale e regionale,7,Settore Educativo
SERVIZI SOCIALI DEI COMUNI||Servizi sociali comunali||||Emilia-Romagna,009_0042,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08,Emilia-Romagna,,,Servizi sociali dei Comuni,Servizi sociali dei Comuni,SERVIZI SOCIALI DEI COMUNI,Servizi sociali comunali,Servizi sociali comunali,Servizi comunali,nome,valido_localizzato,attore,1,0,0,,,,6,Servizi sociali comunali,3,Servizi comunali
SERVIZI SOCIALI DEI COMUNI||Servizi sociali comunali||||Emilia-Romagna,017_0004,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08,Emilia-Romagna,,,Servizi Sociali dei Comuni,Servizi Sociali dei Comuni,SERVIZI SOCIALI DEI COMUNI,Servizi sociali comunali,Servizi sociali comunali,Servizi comunali,nome,valido_localizzato,attore,1,0,0,,operatori facenti parte del gruppo tecnico,,6,Servizi sociali comunali,3,Servizi comunali
UFFICIO SCOLASTICO REGIONALE PER L'EMILIA-ROMAGNA||Scuole/Ufficio scolastico provinciale e regionale||||Emilia-Romagna,010_0008,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,08,Emilia-Romagna,,,Ufficio Scolastico regionale per l’Emilia-Romagna,Ufficio Scolastico regionale per l'Emilia-Romagna,UFFICIO SCOLASTICO REGIONALE PER L'EMILIA-ROMAGNA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Settore educativo,nome,valido_localizzato,firmatario|attore,1,1,0,,firmatario,,16,Scuole/Ufficio scolastico provinciale e regionale,7,Settore Educativo
UFFICIO SCOLASTICO REGIONALE PER L'EMILIA-ROMAGNA||Scuole/Ufficio scolastico provinciale e regionale||||Emilia-Romagna,014_0012,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,08,Emilia-Romagna,,,Ufficio Scolastico regionale per l’Emilia-Romagna,Ufficio Scolastico regionale per l'Emilia-Romagna,UFFICIO SCOLASTICO REGIONALE PER L'EMILIA-ROMAGNA,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Settore educativo,nome,valido_localizzato,firmatario|attore,1,1,0,,,,16,Scuole/Ufficio scolastico provinciale e regionale,7,Settore Educativo
"PRONTO SOCCORSO||Ospedale (Pronto soccorso, ecc.)||||Emilia-Romagna",011_0020,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08,Emilia-Romagna,,,Pronto Soccorso,Pronto Soccorso,PRONTO SOCCORSO,"Ospedale (Pronto soccorso, ecc.)","Ospedale (Pronto soccorso, ecc.)",Settore sanitario,nome,generico,attore,1,0,0,,,,11,"Ospedale (Pronto soccorso, ecc.)",4,settore sanitario
"PRONTO SOCCORSO||Ospedale (Pronto soccorso, ecc.)||||Emilia-Romagna",015_0012,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08,Emilia-Romagna,,,Pronto Soccorso,Pronto Soccorso,PRONTO SOCCORSO,"Ospedale (Pronto soccorso, ecc.)","Ospedale (Pronto soccorso, ecc.)",Settore sanitario,nome,generico,,0,0,0,,,,11,"Ospedale (Pronto soccorso, ecc.)",4,settore sanitario
"PRONTO SOCCORSO||Ospedale (Pronto soccorso, ecc.)||||Emilia-Romagna",017_0017,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08,Emilia-Romagna,,,Pronto Soccorso,Pronto Soccorso,PRONTO SOCCORSO,"Ospedale (Pronto soccorso, ecc.)","Ospedale (Pronto soccorso, ecc.)",Settore sanitario,nome,generico,attore,1,0,0,,,,11,"Ospedale (Pronto soccorso, ecc.)",4,settore sanitario
CONSULTORI FAMILIARI||ASL (consultori familiari e altri servizi territoriali)||||Emilia-Romagna,011_0021,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08,Emilia-Romagna,,,Consultori familiari,Consultori familiari,CONSULTORI FAMILIARI,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Settore sanitario,nome,valido_localizzato,attore,1,0,0,,,,12,ASL (consultori familiari e altri servizi territoriali),4,settore sanitario
CONSULTORI FAMILIARI||ASL (consultori familiari e altri servizi territoriali)||||Emilia-Romagna,012_0033,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08,Emilia-Romagna,,,Consultori Familiari,Consultori Familiari,CONSULTORI FAMILIARI,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Settore sanitario,nome,valido_localizzato,,0,0,0,,,,12,ASL (consultori familiari e altri servizi territoriali),4,settore sanitario
CONSULTORI FAMILIARI||ASL (consultori familiari e altri servizi territoriali)||||Emilia-Romagna,015_0013,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08,Emilia-Romagna,,,Consultori Familiari,Consultori Familiari,CONSULTORI FAMILIARI,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Settore sanitario,nome,valido_localizzato,,0,0,0,,,,12,ASL (consultori familiari e altri servizi territoriali),4,settore sanitario
PROVINCIA DI MODENA||Province/Città metropolitane||Modena||Emilia-Romagna,012_0002,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08,Emilia-Romagna,Modena,Modena,Provincia di Modena,Provincia di Modena,PROVINCIA DI MODENA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,8,Province/Città metropolitane,10,Province/Città metropolitane
PROVINCIA DI MODENA||Province/Città metropolitane||Modena||Emilia-Romagna,017_0001,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08,Emilia-Romagna,Modena,Modena,Provincia di Modena,Provincia di Modena,PROVINCIA DI MODENA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,attore,1,0,0,,citata per il protocollo provinciale e atti,,8,Province/Città metropolitane,10,Province/Città metropolitane
PROVINCIA DI PIACENZA||Province/Città metropolitane||Piacenza||Emilia-Romagna,014_0003,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,08,Emilia-Romagna,Piacenza,Piacenza,Provincia di Piacenza,Provincia di Piacenza,PROVINCIA DI PIACENZA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,firmatario|attore,1,1,0,,,,8,Province/Città metropolitane,10,Province/Città metropolitane
PROVINCIA DI PIACENZA||Province/Città metropolitane||Piacenza||Emilia-Romagna,015_0010,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08,Emilia-Romagna,Piacenza,Piacenza,Provincia di Piacenza,Provincia di Piacenza,PROVINCIA DI PIACENZA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,8,Province/Città metropolitane,10,Province/Città metropolitane
PROVINCIA DI PIACENZA||Province/Città metropolitane||Piacenza||Emilia-Romagna,016_0002,08_2406_rta_08_241015092005_4166---DG216-2024.txt,08,Emilia-Romagna,Piacenza,Piacenza,Provincia di Piacenza,Provincia di Piacenza,PROVINCIA DI PIACENZA,Province/Città metropolitane,Province/Città metropolitane,Altro,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,,,8,Province/Città metropolitane,10,Province/Città metropolitane
COMUNE DI PIACENZA||Comuni||Piacenza||Emilia-Romagna,014_0004,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,08,Emilia-Romagna,Piacenza,Piacenza,Comune di Piacenza,Comune di Piacenza,COMUNE DI PIACENZA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,,,,3,Comuni,3,Servizi comunali
COMUNE DI PIACENZA||Comuni||Piacenza||Emilia-Romagna,015_0001,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08,Emilia-Romagna,Piacenza,Piacenza,Comune di Piacenza,Comune di Piacenza,COMUNE DI PIACENZA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,firmatario|soggetto_proponente|attore,1,1,1,Soggetto capofila,,,3,Comuni,3,Servizi comunali
COMUNE DI PIACENZA||Comuni||Piacenza||Emilia-Romagna,016_0001,08_2406_rta_08_241015092005_4166---DG216-2024.txt,08,Emilia-Romagna,Piacenza,Piacenza,Comune di Piacenza,Comune di Piacenza,COMUNE DI PIACENZA,Comuni,Comuni,Servizi comunali,json,valido_localizzato,soggetto_proponente|attore,1,0,1,,,,3,Comuni,3,Servizi comunali
FORZE DELL'ORDINE||Carabinieri/Polizia/altre forze dell'ordine||||Emilia-Romagna,015_0016,08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,08,Emilia-Romagna,,,Forze dell’Ordine,Forze dell'ordine,FORZE DELL'ORDINE,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,generico,,0,0,0,,,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
FORZE DELL'ORDINE||Carabinieri/Polizia/altre forze dell'ordine||||Emilia-Romagna,017_0007,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08,Emilia-Romagna,,,Forze dell’Ordine,Forze dell'ordine,FORZE DELL'ORDINE,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,generico,attore,1,0,0,,,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
FORZE DELL'ORDINE||Carabinieri/Polizia/altre forze dell'ordine||||Emilia-Romagna,017_0011,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,08,Emilia-Romagna,,,FFOO,Forze dell'ordine,FORZE DELL'ORDINE,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,generico,attore,1,0,0,,Sigla Forze dell’Ordine,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
AZIENDA USL TOSCANA SUD EST||ASL (consultori familiari e altri servizi territoriali)||||Toscana,019_0009,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09,Toscana,,,Azienda USL Toscana Sud Est,Azienda USL Toscana Sud Est,AZIENDA USL TOSCANA SUD EST,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Settore sanitario,nome,valido_localizzato,attore,1,0,0,,,,12,ASL (consultori familiari e altri servizi territoriali),4,settore sanitario
AZIENDA USL TOSCANA SUD EST||ASL (consultori familiari e altri servizi territoriali)||||Toscana,021_0005,09_AREZZO Prot_2024-2026.txt,09,Toscana,,,Azienda USL Toscana Sud Est,Azienda USL Toscana Sud Est,AZIENDA USL TOSCANA SUD EST,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Settore sanitario,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario protocollo,,12,ASL (consultori familiari e altri servizi territoriali),4,settore sanitario
AZIENDA USL TOSCANA SUD EST||ASL (consultori familiari e altri servizi territoriali)||||Toscana,023_0002,09_GROSSETO 2022 fpdf.txt,09,Toscana,,,Azienda USL Toscana Sud est,Azienda USL Toscana Sud est,AZIENDA USL TOSCANA SUD EST,ASL (consultori familiari e altri servizi territoriali),ASL (consultori familiari e altri servizi territoriali),Settore sanitario,nome,valido_localizzato,attore,1,0,0,,,,12,ASL (consultori familiari e altri servizi territoriali),4,settore sanitario
SEUS - SERVIZIO EMERGENZA URGENZA SOCIALE||Servizi sociali comunali||||Toscana,019_0015,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09,Toscana,,,SEUS - Servizio Emergenza Urgenza Sociale,SEUS - Servizio Emergenza Urgenza Sociale,SEUS - SERVIZIO EMERGENZA URGENZA SOCIALE,Altro,Servizi sociali comunali,Servizi comunali,nome,valido_localizzato,attore,1,0,0,,Centrale operativa emergenza e unità territoriali,,6,Servizi sociali comunali,3,Servizi comunali
SEUS - SERVIZIO EMERGENZA URGENZA SOCIALE||Servizi sociali comunali||||Toscana,022_0030,09_FIRENZE Linee-di-indirizzo2024.txt,09,Toscana,,,SEUS - Servizio emergenza urgenza sociale,SEUS - Servizio emergenza urgenza sociale,SEUS - SERVIZIO EMERGENZA URGENZA SOCIALE,Altro,Servizi sociali comunali,Servizi comunali,nome,valido_localizzato,attore,1,0,0,,Opera nelle fasi di post emergenza per la trasmissione dossier,,6,Servizi sociali comunali,3,Servizi comunali
SERVIZI SOCIALI||Servizi sociali comunali||||Toscana,019_0020,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09,Toscana,,,Servizi sociali comunali,Servizi sociali,SERVIZI SOCIALI,Servizi sociali comunali,Servizi sociali comunali,Servizi comunali,nome,generico,attore,1,0,0,,Presa in carico integrata,,6,Servizi sociali comunali,3,Servizi comunali
SERVIZI SOCIALI||Servizi sociali comunali||||Toscana,022_0023,09_FIRENZE Linee-di-indirizzo2024.txt,09,Toscana,,,Servizi sociali,Servizi sociali,SERVIZI SOCIALI,Servizi sociali comunali,Servizi sociali comunali,Servizi comunali,nome,generico,attore,1,0,0,,"Attori territoriali di varie aree (Fiorentina Nord Ovest, Fiorentina Sud Est, Mugello, Comune di Firenze)",,6,Servizi sociali comunali,3,Servizi comunali
SERVIZI SOCIALI||Servizi sociali comunali||||Toscana,029_0022,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,09,Toscana,,,Servizi sociali,Servizi sociali,SERVIZI SOCIALI,Servizi sociali comunali,Servizi sociali comunali,Servizi comunali,nome,generico,attore,1,0,0,,Segnalazione e presa in carico minori/persone non autonome,,6,Servizi sociali comunali,3,Servizi comunali
COMANDO PROVINCIALE DEI CARABINIERI||Carabinieri/Polizia/altre forze dell'ordine||||Toscana,019_0030,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,09,Toscana,,,Comando Provinciale dei Carabinieri,Comando Provinciale dei Carabinieri,COMANDO PROVINCIALE DEI CARABINIERI,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,valido_localizzato,attore,1,0,0,,,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
COMANDO PROVINCIALE DEI CARABINIERI||Carabinieri/Polizia/altre forze dell'ordine||||Toscana,029_0025,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,09,Toscana,,,Comando Provinciale dei Carabinieri,Comando Provinciale dei Carabinieri,COMANDO PROVINCIALE DEI CARABINIERI,Carabinieri/Polizia/altre forze dell'ordine,Carabinieri/Polizia/altre forze dell'ordine,Settore giudiziario,nome,valido_localizzato,,0,0,0,,Destinatario di denunce/referti,,15,Carabinieri/Polizia/altre forze dell'ordine,2,Settore giudiziario
UFFICIO SCOLASTICO PROVINCIALE||Scuole/Ufficio scolastico provinciale e regionale||||Toscana,020_0008,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,,,Ufficio Scolastico Provinciale,Ufficio Scolastico Provinciale,UFFICIO SCOLASTICO PROVINCIALE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Settore educativo,nome,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,16,Scuole/Ufficio scolastico provinciale e regionale,7,Settore Educativo
UFFICIO SCOLASTICO PROVINCIALE||Scuole/Ufficio scolastico provinciale e regionale||||Toscana,027_0031,09_PISTOIA PROV .txt,09,Toscana,,,Ufficio Scolastico Provinciale,Ufficio Scolastico Provinciale,UFFICIO SCOLASTICO PROVINCIALE,Scuole/Ufficio scolastico provinciale e regionale,Scuole/Ufficio scolastico provinciale e regionale,Settore educativo,nome,valido_localizzato,firmatario|attore,1,1,0,,firmatario,,16,Scuole/Ufficio scolastico provinciale e regionale,7,Settore Educativo
CENTRO DI ASCOLTO SABINE DI MONTIGNOSO||CAV/Centri Antiviolenza||Massa-Carrara||Toscana,020_0018,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,Massa-Carrara,Montignoso,Centro di Ascolto Sabine di Montignoso,Centro di Ascolto Sabine di Montignoso,CENTRO DI ASCOLTO SABINE DI MONTIGNOSO,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,firmatario|attore,1,1,0,,Firmatario del protocollo,,1,CAV,1,CAV
CENTRO DI ASCOLTO SABINE DI MONTIGNOSO||CAV/Centri Antiviolenza||Massa-Carrara||Toscana,020_0025,09_APUANE_2015 Protocollo Prefettura.txt,09,Toscana,Massa-Carrara,Montignoso,Centro Sabine,Centro di Ascolto Sabine di Montignoso,CENTRO DI ASCOLTO SABINE DI MONTIGNOSO,CAV/Centri Antiviolenza,CAV/Centri Antiviolenza,CAV e protezione,json,valido_localizzato,,0,0,0,,,,1,CAV,1,CAV
