regione_codice,regione,codice_soggetti_questionari,denominazione_soggetti_questionari,n_attori,attori,n_file,files
08,Emilia-Romagna,16,Scuole/Ufficio scolastico provinciale e regionale,12,"Ambito territoriale per la provincia di Piacenza | Centro Territoriale Permanente per l'Educazione degli Adulti | Direzioni Scolastiche | Istituzioni scolastiche autonome della provincia di Ferrara | MIUR - Ufficio Scolastico Regionale per l'Emilia Romagna - Ufficio VIII Ambito Territoriale per la provincia di Modena | Ufficio Scolastico Provinciale di Reggio Emilia | Ufficio Scolastico Regionale VI Ambito Territoriale di Ferrara | Ufficio Scolastico Regionale per l'Emilia Romagna - Ufficio VII - Ambito territoriale di Forli-Cesena e Rimini | Ufficio Scolastico Regionale per l'Emilia Romagna Ufficio VI, Ambito Territoriale di Ferrara Provinciale | Ufficio Scolastico Territoriale | Ufficio Scolastico regionale per l'Emilia-Romagna | Ufficio scolastico provinciale di Modena",7,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt
08,Emilia-Romagna,17,Procura Minorile/ Tribunale minorile,6,Procura dei Minori | Procura della Repubblica presso il Tribunale per i Minorenni dell'Emilia Romagna di Bologna | Procura presso il Tribunale dei minori di Bologna | Tribunale dei Minori di Bologna | Tribunale per i Minorenni | Tribunale per i Minorenni dell'Emilia Romagna di Bologna,5,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt
08,Emilia-Romagna,18,Procura Ordinaria/Tribunale/Corte d'appello,9,Presidenza del Tribunale di Rimini | Procura della Repubblica di Forli | Procura della Repubblica di Piacenza | Procura della Repubblica di Reggio Emilia | Procura della Repubblica presso il Tribunale di Bologna | Procura della Repubblica presso il Tribunale di Ferrara | Procura della Repubblica presso il Tribunale di Rimini | Tribunale di Ferrara | Tribunale di Reggio Emilia,6,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt
08,Emilia-Romagna,19,Ordine avvocati,4,Avvocati | Ordine degli Avvocati | Ordine degli Avvocati di Ferrara | Ordine degli Avvocati di Reggio Emilia,4,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt
08,Emilia-Romagna,21,Ordine medici e odontoiatri e Ordine farmacisti,2,Ordine dei Farmacisti di Ferrara | Ordine dei Medici Chirurghi e degli Odontoiatri di Ferrara,1,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt
08,Emilia-Romagna,22,"Altri ordini professionali (infermieri, ostetriche, giornalisti, commercialisti, ecc.)",1,Ordine dei Giornalisti di Ferrara,1,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt
08,Emilia-Romagna,23,Organismi di parità,12,Assessorato Pari Opportunita | Comitato Pari Opportunita presso l'Ordine degli Avvocati di Ferrara | Commissione Pari Opportunita | Consigliera di Parità Provinciale di Reggio Emilia | Consigliera di Parità della Provincia di Modena | Consigliera di Parità della Provincia di Piacenza | Consigliera di Parità della Provincia di Rimini | Consigliera di Parità provinciale | Consigliere di Parità | Consulta per le pari opportunita | Dipartimento per le Pari Opportunita della Presidenza del Consiglio dei Ministri | Uffici Pari opportunita,9,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt | 08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt
08,Emilia-Romagna,24,Ente terzo settore - ETS (iscritto al RUNTS)[1],13,AIPI | Associazione Centro di Aiuto alla Vita di Cesena | Associazione Grazia e Pace | Associazione Gruppo Donne e Giustizia | Associazione Mater Caritatis | Associazione MondoDonna Onlus | Associazione Per le Donne | Associazione SOS Donna | Coop.va Sociale Librazione | Cooperativa Girogirotondo | Forum Donne Giuriste di Reggio Emilia | UDI Unione Donne in Italia - Sede di Ferrara | Unione Donne in Italia - APS Ferrara,7,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt
08,Emilia-Romagna,25,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,1,Di.Re - Donne in Rete contro la violenza,1,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt
08,Emilia-Romagna,26,Servizi per l'impiego,4,Centri per l'impiego | Centro per l'impiego | Sportello Lavoro | Sportello comunale per il lavoro,3,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt
08,Emilia-Romagna,27,Sindacati/Associazioni di categoria,33,"APPC | Ascom Confcommercio Ferrara | Associazione Piccoli Proprietari Case | CGIL | CGIL - Bologna | CISL | CISL Area metropolitana Bolognese | CNA Bologna | CNA Piacenza | CONIA | Confapi Piacenza | Confartigianato Imprese di Bologna e Imola | Confcommercio ASCOM Bologna | Confcommercio Ascom Bologna | Confcommercio Piacenza | Confesercenti Bologna | Confesercenti Piacenza | Confindustria Emilia Area Centro: le imprese di Bologna, Ferrara e Modena | Confindustria Piacenza | Coordinamento Donne CGIL Piacenza | Coordinamento Donne UIL Emilia Romagna sede di Piacenza | Coordinamento Pari Opportunita CISL Parma Piacenza | Federfarma Ferrara | Legacoop Emilia Ovest Piacenza | SICET | SUNIA | Sindacato Confederale CGIL Ferrara | Sindacato Confederale CISL Ferrara | Sindacato Confederale UIL Ferrara | UIL | UIL - Bologna | UNIAT | UNIONE INQUILINI",5,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt
08,Emilia-Romagna,28,Università,5,Campus di Rimini | Università degli Studi di Bologna - Dipartimento di Psicologia | Università degli Studi di Ferrara | Università degli Studi di Modena e Reggio Emilia | Università di Modena,5,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt
08,Emilia-Romagna,29,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",6,"CAM Centro di Ascolto per Uomini Maltrattanti APS di Ferrara | Centri LDV ""liberiamoci dalla Violenza | Centro LDV (Liberiamoci dalla violenza - Centro di accompagnamento al cambiamento per uomini dell'Azienda Unità Sanitaria Locale di Modena - Servizio sanitario regionale Emilia Romagna | Centro Pubblico LIBERIAMOCI DALLA VIOLENZA (LDV | Centro di Ascolto per Uomini Maltrattanti di Ferrara | LDV Liberiamoci dalla Violenza",5,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt
08,Emilia-Romagna,30,Altro,70,"ACER Bologna | AFM - Farmacie Comunali Ferrara | AIDA | APE | ASP Cesena Valle del Savio | ASP del Rubicone | ASSOCASA | ASSPI | Agenzia per il lavoro di Piacenza | Agenzia regionale per il lavoro | Alleanza delle Cooperative Italiane - Bologna | Ambito territoriale per la provincia di Forli-Cesena | Arcidiocesi di Bologna | Assistenza Servizi alla Persona (ASSP) Unione Terre e Fiumi | Associazione Consultorio per la Famiglia Don Giorgini | Associazione Nazionale dei Comuni Italia - A.N.C.I | Aziende Casa del territorio metropolitano comunque denominate | Banca d'Italia Filiale di Piacenza | CONFABITARE | CTSSM | Carcere | Caritas Diocesana | Casa Circondariale di Rimini | Comuni dell'Area Nord | Conferenza Provinciale Permanente | Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM | Conferenza delle Elette | Consigliera di Fiducia della Città metropolitana | Consiglieri di Fiducia del Comune di Bologna | Consiglio della Giunta Provinciale | Consiglio metropolitano | DIRe Donne in Rete contro la violenza | Direzione della Casa Circondariale di Rimini | FEDER.CASA | Fondazione Forense di Forli-Cesena | Fondazione San Petronio Onlus | INPS | Insieme per il lavoro | Ispettorato territoriale del lavoro di Piacenza | MEDIBASE Area Nord - Cooperativa dei Medici di Famiglia dell‘Area Nord della Provincia di Modena | MMG | Medici di Medicina Generale | Ministero dell'Interno | Modena Group Stalking | Osservatorio Regionale R.E.R | Ostetricia e Ginecologia | PLS | Pediatri di Libera Scelta | Pronto Intervento Emergenza Minori Provincia di Modena | Psicologia Clinica | Psicologia di Base | Rete DO.MINO | Rete IRENE | Rete nazionale D.i.R.e | Rotary Club Ferrara | SOLARIS s.r.l | Servizi del Comune di Residenza | Servizio Sociale Minori, Famiglie, Giovani - Unione Comuni Area Nord | Servizio Tutela Minori dell'Unione | Servizio di Pronto Intervento Emergenza Minori della Provincia di Modena | Sportelli PUA Unione Terre e Fiumi | Sportello presso sede Ordine degli Avvocati | Tavolo Interistituzionale di contrasto alla violenza alle donne | Tavolo tecnico | UDI - Unione Donne Italiane | UNIONCASA | UPPI | Ufficio Esecuzione Penale Esterna | Ufficio Esecuzione Penale Esterna di Rimini | Ufficio di Presidenza della Conferenza Territoriale Sociale e Sanitaria (CTSS) della Provincia di Piacenza",13,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt | 08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt | 08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt | 08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt | 08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt
09,Toscana,1,CAV,22,"Associazione ""Pronto Donna"" Centro Antiviolenza | Associazione Casa della donna | Associazione Donne Insieme Valdelsa | Associazione Frida | Centro Antiviolenza Associazione Artemisia APS | Centro Antiviolenza Centro Donna Carrara | Centro Antiviolenza Centro Donna Lunigiana | Centro Antiviolenza Centro Donna della Lunigiana | Centro Antiviolenza Centro Donna di Massa | Centro Antiviolenza Donna chiama Donna di Carrara | Centro Antiviolenza Duna di Massa | Centro Antiviolenza La Nara | Centro Antiviolenza di Grosseto | Centro Antiviolenza di Orbetello | Centro Donna Chiama Donna | Centro Donna Lunigiana | Centro Donna Provinciale | Centro antiviolenza ""Olympia de Gouges"" di Grosseto e Orbetello | Centro antiviolenza ""Tutto e vita - Elisabetta Fiorilli"" Grosseto | Centro antiviolenza Artemisia | Centro antiviolenza di Mantepescali | Centro di Ascolto Sabine di Montignoso",7,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_PISA PREF E PROV.txt | 09_PRATO PREF.txt
09,Toscana,2,Case Rifugio,1,Casa Rifugio D.I.V.E,1,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt
09,Toscana,3,Comuni,119,Comune di Abetone | Comune di Agliana | Comune di Arezzo | Comune di Barberino del Mugello | Comune di Bientina | Comune di Borgo San Lorenzo | Comune di Buggiano | Comune di Buti | Comune di Calci | Comune di Calcinaia | Comune di Campagnatico | Comune di Campi Bisenzio | Comune di Cantagallo | Comune di Capalbio | Comune di Capannoli | Comune di Carmignano | Comune di Carrara | Comune di Casale Marittimo | Comune di Casciana Terme-Lari | Comune di Cascina | Comune di Casole d'Elsa | Comune di Castelfranco di Sotto | Comune di Castellina Marittima | Comune di Castelnuovo Val di Cecina | Comune di Castiglione della Pescaia | Comune di Cetona | Comune di Chianciano Terme | Comune di Chianni | Comune di Chiesina Uzzanese | Comune di Chiusi | Comune di Cinigiano | Comune di Civitella Paganico | Comune di Colle di Val d'Elsa | Comune di Crespina-Lorenzana | Comune di Cutigliano | Comune di Fauglia | Comune di Figline e Incisa Valdarno | Comune di Firenze | Comune di Firenze: Area Tutela Valery | Comune di Firenze: Servizi sociali | Comune di Follonica | Comune di Gavorrano | Comune di Grosseto | Comune di Guardistallo | Comune di Isola del Giglio | Comune di Lajatico | Comune di Lamporecchio | Comune di Larciano | Comune di Lastra a Signa | Comune di Livorno | Comune di Magliano in Toscana | Comune di Manciano | Comune di Marliana | Comune di Massa | Comune di Massa Marittima | Comune di Massa e Cozzile | Comune di Monsummano Terme | Comune di Montale | Comune di Monte Argentario | Comune di Montecatini Terme | Comune di Montecatini Val Di Cecina | Comune di Montemurlo | Comune di Montepulciano | Comune di Monterotondo Marittimo | Comune di Montescudaio | Comune di Monteverdi Marittimo | Comune di Montieri | Comune di Montignoso | Comune di Montopoli Valdarno | Comune di Orbetello | Comune di Orciano Pisano | Comune di Palaia | Comune di Peccioli | Comune di Pescia | Comune di Pieve a Nievole | Comune di Pisa | Comune di Pistoia | Comune di Piteglio | Comune di Pitigliano | Comune di Poggibonsi | Comune di Poggio a Caiano | Comune di Pomarance | Comune di Ponsacco | Comune di Pontassieve | Comune di Ponte Buggianese | Comune di Pontedera | Comune di Prato | Comune di Quarrata | Comune di Radicondoli | Comune di Riparbella | Comune di Sambuca Pistoiese | Comune di San Casciano Val di Pesa | Comune di San Casciano dei Bagni | Comune di San Gimignano | Comune di San Giuliano Terme | Comune di San Marcello Pistoiese | Comune di San Miniato | Comune di Santa Croce sull'Arno | Comune di Santa Luce | Comune di Santa Maria a Monte | Comune di Sarteano | Comune di Scandicci | Comune di Scansano | Comune di Scarlino | Comune di Serravalle Pistoiese | Comune di Sesto Fiorentino | Comune di Sinalunga | Comune di Sorano | Comune di Tavarnelle Val di Pesa | Comune di Terricciola | Comune di Torrita di Siena | Comune di Trequanda | Comune di Uzzano | Comune di Vaiano | Comune di Vecchiano | Comune di Vernio | Comune di Vicopisano | Comune di Volterra | Quartiere 5 del Comune di Firenze,10,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
09,Toscana,4,Polizia Municipale,7,Comando Polizia Municipale | Polizia Municipale di Casole d'Elsa | Polizia Municipale di Colle Val d'Elsa | Polizia Municipale di Poggibonsi | Polizia Municipale di Radicondoli | Polizia Municipale di San Gimignano | Polizie Municipali dei Comuni della Valdelsa,2,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt
09,Toscana,6,Servizi sociali comunali,7,Fiorentina Nord Ovest: Servizi sociali | Fiorentina Sud Est: Servizi sociali | Mugello: Servizi sociali | Referente Emergenza Sociale (RES) di zona | SEUS - Servizio Emergenza Urgenza Sociale | Servizi Sociali dei Comuni di Costa | UTES - Unità Territoriali Emergenza Sociale,3,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_FIRENZE Linee-di-indirizzo2024.txt
09,Toscana,8,Province/Città metropolitane,13,Città Metropolitana di Firenze | Comunità Montana del Cetona | Conferenza Zonale dei Sindaci del Casentino/Unione dei Comuni Montani del Casentino | Conferenza Zonale dei Sindaci della Valtiberina Toscana/Unione Montana dei Comuni della Valtiberina Toscana | Provincia di Arezzo | Provincia di Grosseto | Provincia di Livorno | Provincia di Lucca | Provincia di Massa Carrara | Provincia di Pisa | Provincia di Pistoia | Provincia di Prato | Unione dei comuni Montani Amiata Grossetana,10,09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
09,Toscana,9,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",19,Conferenza Zonale dei Sindaci del Valdarno | Conferenza Zonale dei Sindaci della Valdichiana Aretina | Conferenza dei Sindaci ASL 2 zona Piana di Lucca | Conferenza dei Sindaci ASL 2 zona Valle del Serchio | Conferenza dei Sindaci della Zona Aretina | Conferenza del Sindaci ASL 12 zona Versilia | Fondazione Territori Sociali Altavaldelsa | Servizi Sociali e Sanitari della Società della Salute | Società della Salute Alta Val d'Elsa | Società della Salute Area Pratese | Società della Salute Fiorentina Nord Ovest | Società della Salute Fiorentina Sud Est | Società della Salute Firenze | Società della Salute Mugello | Società della Salute Valdinievole | Società della Salute Zona Alta Valdicecina-Valdera | Società della Salute Zona Empolese Valdarno Valdelsa | Società della Salute Zona Pisana | Società della Salute della Lunigiana,8,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_FIRENZE Linee-di-indirizzo2024.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt
09,Toscana,10,Regioni/province Autonome,2,Giunta della Regione Toscana | Regione Toscana,2,09_APUANE_2015 Protocollo Prefettura.txt | 09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt
09,Toscana,11,"Ospedale (Pronto soccorso, ecc.)",2,118 | Ospedale (Pronto Soccorso,2,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt
09,Toscana,12,ASL (consultori familiari e altri servizi territoriali),18,ASL 12 Versilia | ASL 2 Lucca | ASL n. 3 Pistoia | Azienda ASL7 | Azienda Ospedaliera Universitaria Pisana | Azienda Sanitaria Locale n. 1 di Massa Carrara | Azienda Sanitaria USL Toscana Centro | Azienda Sanitaria USL Toscana Nord-Ovest | Azienda USL 9 di Grosseto | Azienda USL Toscana Nord Ovest (AUSL TNO | Azienda USL Toscana Sud Est | Azienda USL n.9 di Grosseto | Azienda Usl n. 8 | Consultorio Azienda USL Toscana Sud Est Zona Valdelsa | Pronto Soccorso di Campostaggia Azienda USL Toscana Sud Est | Servizio di Salute Mentale Azienda USL Toscana Sud Est Zona Alta Valdelsa | U.O Pronto Soccorso Azienda USL 7 - Monoblocco Alta Val d'Elsa | U.O.C. di Psicologia Azienda USL Toscana Sud Est,10,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_GROSSETO 2022 fpdf.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt | 09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt
09,Toscana,13,Prefettura,8,Prefettura Ufficio Territoriale del Governo di Prato | Prefettura di Arezzo | Prefettura di Livorno - Ufficio Territoriale del Governo | Prefettura di Lucca | Prefettura di Massa-Carrara | Prefettura di Pisa | Prefettura di Pistoia - Ufficio Territoriale di Governo | Prefettura di Siena,8,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt
09,Toscana,14,Questura,7,Questura di Arezzo | Questura di Livorno | Questura di Lucca | Questura di Massa Carrara | Questura di Pistoia | Questura di Prato | Questura di Siena,7,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt
09,Toscana,15,Carabinieri/Polizia/altre forze dell'ordine,10,Arma dei Carabinieri-Comando provinciale di Lucca | Comando Provinciale Carabinieri di Livorno | Comando Provinciale Carabinieri di Pistoia | Comando Provinciale dei Carabinieri | Comando Provinciale dei Carabinieri di Arezzo | Comando Provinciale dei Carabinieri di Massa Carrara | Comando Provinciale dell'Arma dei Carabinieri di Prato | Comando Provinciale della Guardia di Finanza di Arezzo | Comando Provinciale della Guardia di Finanza di Massa Carrara | Comando Provinciale della Guardia di Finanza di Prato,7,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt | 09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt | 09_LUCCA PROV.txt | 09_PISTOIA PROV .txt | 09_PRATO PREF.txt
09,Toscana,16,Scuole/Ufficio scolastico provinciale e regionale,9,MIUR Ufficio Scolastico Regionale per la Toscana XI Ambito Territoriale di Prato e Pistoia sede di Prato | Scuole | Ufficio Scolastico Provinciale | Ufficio Scolastico Provinciale di Arezzo | Ufficio Scolastico Provinciale di Grosseto | Ufficio Scolastico Provinciale di Lucca | Ufficio Scolastico Regionale della Toscana Ambito Territoriale della provincia di Pisa | Ufficio Scolastico Regionale per la Toscana Ambito Territoriale della Provincia di Arezzo Ufficio VI | Ufficio Scolastico Territoriale di Arezzo,6,09_APUANE_2015 Protocollo Prefettura.txt | 09_AREZZO Prot_2024-2026.txt | 09_GROSSETO 2022 fpdf.txt | 09_LUCCA PROV.txt | 09_PISA PREF E PROV.txt | 09_PRATO PREF.txt
09,Toscana,17,Procura Minorile/ Tribunale minorile,4,Procura della Repubblica minorile | Procura della Repubblica per i Minorenni di Firenze | Procura della Repubblica presso il Tribunale per i Minorenni | Tribunale per i Minorenni,3,09_APUANE_2015 Protocollo Prefettura.txt | 09_GROSSETO 2022 fpdf.txt | 09_PISA PREF E PROV.txt
