regione,provincia,comune,nome_canonico,tipo_30,tipo_10,files,n_record_aggregati
Emilia-Romagna,Ravenna,,Unione dei Comuni della Bassa Romagna,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,1
Emilia-Romagna,Ravenna,,Unione dei Comuni della Romagna Faentina,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,1
Toscana,Grosseto,,Unione dei comuni Montani Amiata Grossetana,Province/Città metropolitane,Province/Città metropolitane,09_GROSSETO 2022 fpdf.txt,1
Emilia-Romagna,Modena,,Unione delle Terre d'Argine,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,,Assessorato Pari Opportunita,Organismi di parità,Territorio,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Toscana,,,Centro Pari Opportunità Valdelsa,Organismi di parità,Territorio,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Toscana,,,Centro Pari Opportunità Valdichiana,Organismi di parità,Territorio,09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,1
Toscana,Siena,Siena,Comitato Pari Opportunita dell'Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,Organismi di parità,Territorio,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Emilia-Romagna,Ferrara,Ferrara,Comitato Pari Opportunita presso l'Ordine degli Avvocati di Ferrara,Organismi di parità,Territorio,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,,,Commissione Pari Opportunita,Organismi di parità,Territorio,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Toscana,,,Consigliera Provinciale di Parità,Organismi di parità,Territorio,09_AREZZO Prot_2024-2026.txt | 09_PISTOIA PROV .txt,2
Emilia-Romagna,,Reggio Emilia,Consigliera di Parità Provinciale di Reggio Emilia,Organismi di parità,Territorio,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Toscana,Livorno,Livorno,Consigliera di Parità della Provincia di Livorno,Organismi di parità,Territorio,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
Emilia-Romagna,Modena,Modena,Consigliera di Parità della Provincia di Modena,Organismi di parità,Territorio,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,Piacenza,Piacenza,Consigliera di Parità della Provincia di Piacenza,Organismi di parità,Territorio,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Toscana,Pisa,Pisa,Consigliera di Parità della Provincia di Pisa,Organismi di parità,Territorio,09_PISA PREF E PROV.txt,1
Emilia-Romagna,Rimini,Rimini,Consigliera di Parità della Provincia di Rimini,Organismi di parità,Territorio,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Toscana,Lucca,Lucca,Consigliera di Parità di Lucca,Organismi di parità,Territorio,09_LUCCA PROV.txt,1
Emilia-Romagna,,,Consigliera di Parità provinciale,Organismi di parità,Territorio,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,1
Emilia-Romagna,,,Consigliere di Parità,Organismi di parità,Territorio,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,,Consulta per le pari opportunita,Organismi di parità,Territorio,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,Dipartimento per le Pari Opportunita della Presidenza del Consiglio dei Ministri,Organismi di parità,Territorio,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,Uffici Pari opportunita,Organismi di parità,Territorio,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Toscana,Arezzo,Arezzo,Ufficio delle Consigliere di Parità per la Provincia di Arezzo,Organismi di parità,Territorio,09_AREZZO Prot_2024-2026.txt,1
Toscana,,,Polizia provinciale,Altro,altro,09_GROSSETO 2022 fpdf.txt,1
Toscana,Firenze,Firenze,Città Metropolitana di Firenze,Province/Città metropolitane,Province/Città metropolitane,09_FIRENZE Linee-di-indirizzo2024.txt,1
Liguria,Genova,Genova,Città Metropolitana di Genova,Province/Città metropolitane,Province/Città metropolitane,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,1
Emilia-Romagna,Bologna,Bologna,Città metropolitana di Bologna,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt | 08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,3
Toscana,Arezzo,Arezzo,Provincia di Arezzo,Province/Città metropolitane,Province/Città metropolitane,09_AREZZO Prot_2024-2026.txt,1
Emilia-Romagna,Bologna,Bologna,Provincia di Bologna,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,Provincia di Forli-Cesena,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Toscana,Grosseto,Grosseto,Provincia di Grosseto,Province/Città metropolitane,Province/Città metropolitane,09_GROSSETO 2022 fpdf.txt,1
Toscana,Livorno,Livorno,Provincia di Livorno,Province/Città metropolitane,Province/Città metropolitane,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
Toscana,Lucca,Lucca,Provincia di Lucca,Province/Città metropolitane,Province/Città metropolitane,09_LUCCA PROV.txt,1
Toscana,Massa-Carrara,Massa Carrara,Provincia di Massa Carrara,Province/Città metropolitane,Province/Città metropolitane,09_APUANE_2015 Protocollo Prefettura.txt,1
Emilia-Romagna,Modena,Modena,Provincia di Modena,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt | 08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,2
Emilia-Romagna,Piacenza,Piacenza,Provincia di Piacenza,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt | 08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt | 08_2406_rta_08_241015092005_4166---DG216-2024.txt,3
Toscana,Pisa,Pisa,Provincia di Pisa,Province/Città metropolitane,Province/Città metropolitane,09_PISA PREF E PROV.txt,1
Toscana,Pistoia,Pistoia,Provincia di Pistoia,Province/Città metropolitane,Province/Città metropolitane,09_PISTOIA PROV .txt,1
Toscana,Prato,Prato,Provincia di Prato,Province/Città metropolitane,Province/Città metropolitane,09_PRATO PREF.txt,1
Emilia-Romagna,,Reggio Emilia,Provincia di Reggio Emilia,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Emilia-Romagna,Rimini,Rimini,Provincia di Rimini,Province/Città metropolitane,Province/Città metropolitane,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,Rimini,Rimini,Campus di Rimini,Università,Settore Educativo,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,,Università degli Studi di Bologna - Dipartimento di Psicologia,Università,Settore Educativo,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Ferrara,Ferrara,Università degli Studi di Ferrara,Università,Settore Educativo,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,2
Toscana,Firenze,Firenze,Università degli Studi di Firenze,Università,Settore Educativo,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
Liguria,Genova,Genova,Università degli Studi di Genova,Università,Settore Educativo,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,1
Emilia-Romagna,,,Università degli Studi di Modena e Reggio Emilia,Università,Settore Educativo,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Toscana,Pisa,Pisa,Università degli Studi di Pisa,Università,Settore Educativo,09_PISA PREF E PROV.txt,1
Emilia-Romagna,Modena,Modena,Università di Modena,Università,Settore Educativo,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Toscana,Siena,Siena,Ordine dei Dottori Commercialisti e degli Esperti Contabili di Siena,"Altri ordini professionali (infermieri, ostetriche, giornalisti, commercialisti, ecc.)",associazionismo,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Emilia-Romagna,Ferrara,Ferrara,Ordine dei Giornalisti di Ferrara,"Altri ordini professionali (infermieri, ostetriche, giornalisti, commercialisti, ecc.)",associazionismo,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Toscana,,,CAM Centro Uomini Maltrattanti,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,09_FIRENZE Linee-di-indirizzo2024.txt,1
Emilia-Romagna,Ferrara,Ferrara,CAM Centro di Ascolto per Uomini Maltrattanti APS di Ferrara,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Toscana,,,CAM Firenze,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Emilia-Romagna,,,"Centri LDV ""liberiamoci dalla Violenza","Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,,,Centro LDV (Liberiamoci dalla violenza - Centro di accompagnamento al cambiamento per uomini dell'Azienda Unità Sanitaria Locale di Modena - Servizio sanitario regionale Emilia Romagna,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Emilia-Romagna,,,Centro Pubblico LIBERIAMOCI DALLA VIOLENZA (LDV,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Toscana,Firenze,Firenze,Centro di Ascolto Uomini Maltrattanti,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,09_PRATO PREF.txt,1
Emilia-Romagna,Ferrara,Ferrara,Centro di Ascolto per Uomini Maltrattanti di Ferrara,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,,LDV Liberiamoci dalla Violenza,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,1
Toscana,,,Nuovo Maschile. Uomini liberi dalla violenza,"Associazioni che si occupano di programmi di prevenzione, recupero e trattamento per uomini maltrattanti",associazionismo,09_PISA PREF E PROV.txt,1
Emilia-Romagna,Bologna,Bologna,AIPI,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Liguria,Genova,Genova,Agora soc. coop. soc,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Toscana,Firenze,Firenze,Alice Cooperativa Sociale,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_PRATO PREF.txt,1
Liguria,Genova,Genova,Arci Solidarieta Genova ODV,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Toscana,Pisa,Pontedera,Arnera Società Cooperativa Sociale,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_PISA PREF E PROV.txt,1
Toscana,Massa-Carrara,Massa,Associazione A.R.P.A,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_APUANE_2015 Protocollo Prefettura.txt,1
Toscana,Siena,Montepulciano,Associazione Amica Donna,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_VALDICHIANA_all. decreto 37_2008 protocollo di intesa 2008.txt,1
Toscana,Firenze,Castelfiorentino,Associazione Atelier Vantaggio Donna,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Toscana,Massa-Carrara,Carrara,Associazione C.LF,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_APUANE_2015 Protocollo Prefettura.txt,1
Emilia-Romagna,Forli-Cesena,Cesena,Associazione Centro di Aiuto alla Vita di Cesena,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Toscana,Pisa,Pisa,Associazione Donne In Movimento,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_PISA PREF E PROV.txt,1
Toscana,Pisa,Pontedera,Associazione Eunice,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_PISA PREF E PROV.txt,1
Emilia-Romagna,Forli-Cesena,Cesena,Associazione Grazia e Pace,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Modena,Modena,Associazione Gruppo Donne e Giustizia,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,1
Toscana,Livorno,Livorno,Associazione LUI APS,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
Toscana,Pisa,Pomarance,Associazione Le Amiche di Mafalda,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_PISA PREF E PROV.txt,1
Emilia-Romagna,Forli-Cesena,Cesena,Associazione Mater Caritatis,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Bologna,Bologna,Associazione MondoDonna Onlus,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Toscana,Grosseto,Grosseto,Associazione Olympia de Gouges,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_GROSSETO 2022 fpdf.txt,1
Toscana,,,Associazione P.A. Humanitas,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_GROSSETO 2022 fpdf.txt,1
Emilia-Romagna,,,Associazione Per le Donne,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Toscana,Livorno,Livorno,Associazione Psicosfera,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
Toscana,Livorno,Livorno,Associazione Randi APS,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
Emilia-Romagna,Ravenna,Faenza,Associazione SOS Donna,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Toscana,,,Associazioni del Terzo Settore,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_LUCCA PROV.txt,1
Toscana,Firenze,Empoli,Comitato Regionale,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_SENESE Delibera-n.1196-del-24-10-2022-allegato-a_SENESE_2.txt,1
Emilia-Romagna,,,Coop.va Sociale Librazione,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,,,Cooperativa Girogirotondo,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Liguria,Genova,Genova,Dono Società cooperativa sociale,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Liguria,Genova,Genova,Fondazione Auxilium,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Emilia-Romagna,,Reggio Emilia,Forum Donne Giuriste di Reggio Emilia,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Liguria,Genova,Genova,Il Biscione Società Cooperativa Sociale,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Liguria,Genova,Genova,Il Cesto Onlus Cooperativa Sociale,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Toscana,Livorno,Livorno,Ippogrifo APS,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,09_LIVORNO Protocollo_ RETE ANTIVIOLENZA_ LIVORNO.txt,1
Liguria,Genova,Genova,Lanza del Vasto Società Cooperativa Sociale,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Piemonte,Torino,Torino,Liberitutti Società Cooperativa Sociale,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Liguria,Genova,Genova,Tl Melograno Cooperativa Sociale Onlus,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163933_4166---sub_14574431199510849525_Protocollo_LVLS-signed.txt,1
Emilia-Romagna,Ferrara,Ferrara,UDI Unione Donne in Italia - Sede di Ferrara,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Emilia-Romagna,Ferrara,Ferrara,Unione Donne in Italia - APS Ferrara,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Liguria,,,operatori del III settore,Ente terzo settore - ETS (iscritto al RUNTS)[1],associazionismo,07_2406_rta_07_240916163905_4166---PROTOCOLLOFIRMATO(002).txt,1
Emilia-Romagna,,,Di.Re - Donne in Rete contro la violenza,Ente terzo settore - ETS (iscritto al RUNTS) costituito da donne per le donne,associazionismo,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,1
Emilia-Romagna,Rimini,Rimini,Avvocati,Ordine avvocati,associazionismo,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,1
Toscana,Siena,Siena,CPO dell'Ordine degli Avvocati di Siena,Ordine avvocati,associazionismo,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Emilia-Romagna,,,Ordine degli Avvocati,Ordine avvocati,associazionismo,08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,1
Emilia-Romagna,Ferrara,Ferrara,Ordine degli Avvocati di Ferrara,Ordine avvocati,associazionismo,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt | 08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,2
Emilia-Romagna,,Reggio Emilia,Ordine degli Avvocati di Reggio Emilia,Ordine avvocati,associazionismo,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,1
Toscana,Siena,Siena,Ordine degli Avvocati di Siena,Ordine avvocati,associazionismo,09_ALTA VALDELSA Protocollo-violenza-valdelsa-2022_ALTA VALDELSA.txt,1
Emilia-Romagna,Ferrara,Ferrara,Ordine dei Farmacisti di Ferrara,Ordine medici e odontoiatri e Ordine farmacisti,associazionismo,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,Ferrara,Ferrara,Ordine dei Medici Chirurghi e degli Odontoiatri di Ferrara,Ordine medici e odontoiatri e Ordine farmacisti,associazionismo,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,,APPC,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Toscana,,,Ascom,Sindacati/Associazioni di categoria,associazionismo,09_GROSSETO 2022 fpdf.txt,1
Emilia-Romagna,Ferrara,Ferrara,Ascom Confcommercio Ferrara,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,,Associazione Piccoli Proprietari Case,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,CGIL,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,Bologna,Bologna,CGIL - Bologna,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Toscana,,,CGIL Provinciale,Sindacati/Associazioni di categoria,associazionismo,09_PISTOIA PROV .txt,1
Toscana,,,CIA,Sindacati/Associazioni di categoria,associazionismo,09_GROSSETO 2022 fpdf.txt,1
Emilia-Romagna,,,CISL,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,CISL Area metropolitana Bolognese,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Toscana,,,CISL Provinciale,Sindacati/Associazioni di categoria,associazionismo,09_PISTOIA PROV .txt,1
Emilia-Romagna,Bologna,Bologna,CNA Bologna,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,,CNA Piacenza,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,,,CONIA,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,Confapi Piacenza,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,,,Confartigianato Imprese di Bologna e Imola,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,Bologna,Bologna,Confcommercio ASCOM Bologna,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,,Confcommercio Ascom Bologna,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
Emilia-Romagna,,,Confcommercio Piacenza,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Toscana,,,Confesercenti,Sindacati/Associazioni di categoria,associazionismo,09_GROSSETO 2022 fpdf.txt,1
Emilia-Romagna,Bologna,Bologna,Confesercenti Bologna,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,,Confesercenti Piacenza,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,,,"Confindustria Emilia Area Centro: le imprese di Bologna, Ferrara e Modena",Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,1
Emilia-Romagna,,,Confindustria Piacenza,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,,,Coordinamento Donne CGIL Piacenza,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,Piacenza,Piacenza,Coordinamento Donne UIL Emilia Romagna sede di Piacenza,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,,,Coordinamento Pari Opportunita CISL Parma Piacenza,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Toscana,,,Federalberghi,Sindacati/Associazioni di categoria,associazionismo,09_GROSSETO 2022 fpdf.txt,1
Emilia-Romagna,Ferrara,Ferrara,Federfarma Ferrara,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,1
Emilia-Romagna,,,Legacoop Emilia Ovest Piacenza,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015092005_4166---DG216-2024.txt,1
Emilia-Romagna,,,SICET,Sindacati/Associazioni di categoria,associazionismo,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,1
